Status,Subject,Course,Section,CRN,Title,Cred,Meeting Days,Times,Meeting Type,Campus,Location,Instructor,Date,Weeks,Seats,Enrolled,Available,Wait List,Final Exam,Fees
OPEN,CS,1063,1,20464,Intro to Comp Programming I,3,MW,4:00-5:15pm,"Online only, at set time",Internet, ,"Rutherford, Linda B.",01/18-05/11,17,75,70,5,N/A,Tue  May 10  07:00 am - 08:50 am  ,$111 
OPEN,CS,1083,1,31537,Prog I for Computer Scientists,3,TR,4:00-5:15pm,Traditional in-person,Main Camp,NPB 1.202,"Gomez Morales, Mauricio Alejandro",01/18-05/11,17,60,32,28,N/A,Tue  May 10  03:00 pm - 04:50 pm  ,$111 
OPEN,CS,1083,2,31538,Prog I for Computer Scientists,3,TR,10:00-11:15am,Traditional in-person,Main Camp,NPB 1.202,"Gomez Morales, Mauricio Alejandro",01/18-05/11,17,60,53,7,N/A,Tue  May 10  11:00 am - 12:50 pm  ,$111 
CLOSED,CS,1083,3,31810,Prog I for Computer Scientists,3,MWF,10:00-10:50am,"Online only, at set time",Internet, ,"Rathore, Heena",01/18-05/11,17,65,65,0,N/A,Mon  May 09  11:00 am - 12:50 pm  ,$111 
OPEN,CS,1083,4,35683,Prog I for Computer Scientists,3,TR,1:00-2:15pm,Traditional in-person,Main Camp,NPB 1.238,"Long, Byron L.",01/18-05/11,17,60,40,20,N/A,Tue  May 10  01:00 pm - 02:50 pm  ,$111 
OPEN,CS,1083,5,38828,Prog I for Computer Scientists,3,TR,11:30-12:45pm,Traditional in-person,Main Camp,NPB 1.202,"Long, Byron L.",01/18-05/11,17,60,49,11,N/A,Thu  May 05  11:00 am - 12:50 pm  ,$111 
OPEN,CS,1173,1,26789,Data Analysis and Visual(Q),3,T,10:00-11:15am,Mix of in person and online,Main Camp,NPB 1.238,"Roberson, Dawnlee J.",01/18-05/11,17,60,44,16,N/A,To be determined by instructor ,$198 
OPEN,CS,1173,2,26790,Data Analysis and Visual(Q),3,R,10:00-11:15am,Mix of in person and online,Main Camp,NPB 1.238,"Roberson, Dawnlee J.",01/18-05/11,17,60,37,23,N/A,To be determined by instructor ,$198 
OPEN,CS,1173,3,23564,Data Analysis and Visual(Q),3,,,"Online only, no set time",Internet, ,"Roberson, Dawnlee J.",01/18-05/11,17,70,68,2,N/A,To be determined by instructor ,$198 
OPEN,CS,1173,4,24095,Data Analysis and Visual(Q),3,,,"Online only, no set time",Internet, ,"Rutherford, Linda B.",01/18-05/11,17,70,69,1,N/A,To be determined by instructor ,$198 
OPEN,CS,1173,5,36830,Data Analysis and Visual(Q),3,TR,1:00-2:15pm,Traditional in-person,Main Camp,NPB 1.202,"Rutherford, Linda B.",01/18-05/11,17,60,55,5,N/A,Tue  May 10  01:00 pm - 02:50 pm  ,$198 
CANCELED,CS,1173,6,38862,Data Analysis and Visual (HON),3,TBA,TBA,,Main Camp, ,Staff,01/18-05/11,17,30,0,30,N/A,To be determined by instructor ,$198 
OPEN,CS,1173,7,39768,Data Analysis and Visual,3,TR,4:00-5:15pm,"Online only, at set time",Internet, ,"Rutherford, Linda B.",01/18-05/11,17,60,57,3,N/A,Tue  May 10  03:00 pm - 04:50 pm  ,$198 
OPEN,CS,1714,0A1,36483,Computer Programming II,4,TR,2:30-3:45pm,Traditional in-person,Main Camp,NPB 1.202,"Jointer, Stanley",01/18-05/11,17,66,51,15,N/A,Thu  May 05  01:00 pm - 02:50 pm  ,$148 
OPEN,CS,1714,0AA,36484,Computer Programming II,  ,T,4:00-4:50pm,Traditional in-person,Main Camp,NPB 1.226,"Jointer, Stanley",01/18-05/11,17,33,32,1,N/A,To be determined by instructor ,
OPEN,CS,1714,0AB,36485,Computer Programming II,  ,R,4:00-4:50pm,Traditional in-person,Main Camp,NPB 1.226,"Jointer, Stanley",01/18-05/11,17,33,19,14,N/A,To be determined by instructor ,
OPEN,CS,1714,0B2,36622,Computer Programming II,4,MWF,1:00-1:50pm,"Online only, at set time",Internet, ,"Desai, Kevin",01/18-05/11,17,70,68,2,N/A,Mon  May 09  01:00 pm - 02:50 pm  ,$148 
OPEN,CS,1714,0BA,36623,Computer Programming II,  ,W,2:00-2:50pm,"Online only, at set time",Internet, ,"Desai, Kevin",01/18-05/11,17,35,34,1,N/A,To be determined by instructor ,
OPEN,CS,1714,0BB,36626,Computer Programming II,  ,F,2:00-2:50pm,"Online only, at set time",Internet, ,"Desai, Kevin",01/18-05/11,17,35,34,1,N/A,To be determined by instructor ,
OPEN,CS,1714,0C3,36634,Computer Programming II,4,MWF,12:00-12:50pm,"Online only, at set time",Internet, ,"Desai, Kevin",01/18-05/11,17,70,69,1,N/A,Fri  May 06  11:00 am - 12:50 pm  ,$148 
OPEN,CS,1714,0CA,36635,Computer Programming II,  ,W,1:00-1:50pm,"Online only, at set time",Internet, ,"Desai, Kevin",01/18-05/11,17,35,34,1,N/A,To be determined by instructor ,
CLOSED,CS,1714,0CB,36638,Computer Programming II,  ,F,1:00-1:50pm,"Online only, at set time",Internet, ,"Desai, Kevin",01/18-05/11,17,35,35,0,N/A,To be determined by instructor ,
OPEN,CS,1714,0D4,36643,Computer Programming II,4,TR,11:30-12:45pm,Traditional in-person,Main Camp,NPB 1.238,"Jointer, Stanley",01/18-05/11,17,60,54,6,N/A,Thu  May 05  11:00 am - 12:50 pm  ,$148 
OPEN,CS,1714,0DA,36646,Computer Programming II,  ,T,1:00-1:50pm,Traditional in-person,Main Camp,NPB 1.226,"Jointer, Stanley",01/18-05/11,17,30,27,3,N/A,To be determined by instructor ,
OPEN,CS,1714,0DB,36650,Computer Programming II,  ,R,1:00-1:50pm,Traditional in-person,Main Camp,NPB 1.226,"Jointer, Stanley",01/18-05/11,17,30,27,3,N/A,To be determined by instructor ,
OPEN,CS,2073,1,22825,Comp Prog W/Egr Application,3,MW,6:00-7:15pm,Traditional in-person,Main Camp,NPB 1.238,"Banerjee, Jishnu",01/18-05/11,17,60,26,34,N/A,Mon  May 09  05:00 pm - 06:50 pm  ,$111 
OPEN,CS,2124,0A1,36697,Data Structures,4,MW,4:00-5:15pm,"Online only, at set time",Internet, ,"Sherette, Jonathan L.",01/18-05/11,17,60,58,2,N/A,Mon  May 09  03:00 pm - 04:50 pm  ,$148 
